True_UTS,Predicted_UTS
9.623499150198533,9.696242076095054
9.319807416001575,9.135668397978758
9.786491483616478,9.901675934638353
9.205979458863599,9.233614546382777
8.823865569481269,8.816991207854132
10.22561492454183,10.378314029459078
10.389669966621756,10.586776753976988
9.937793782992761,10.02813283347734
10.077122110087018,9.969632885743085
10.007912622431721,10.00096648408596
9.005127250171663,9.05894799402146
10.561960486243189,10.474454143176871
10.272517816401283,10.313011651383118
9.372201648207978,9.451833118944675
10.312293105789752,10.280358208267137
9.558958174267396,9.502888720388345
9.01079127232406,8.964255056478633
9.058720610367788,9.066119077068969
9.610010853667301,9.402045190981454
9.165657015290938,8.939075728955721
9.230189262132843,9.216091814923868
9.323097225726881,9.353904215456502
8.809762251157775,8.897407342966133
9.776848832040999,9.818115451448529
9.753171089010847,9.784557517275553
9.595019297790389,9.506395916295519
9.15725392042243,9.366076957855729
10.252141979295905,10.253222304898628
9.508772331811382,9.57580231060598
9.229060998666256,9.020915196696365
10.153239100407129,10.083231396461892
9.488549590593257,9.584538462962563
10.510752218132831,10.46936227002004
10.004438424680847,10.121039763916574
10.509607955252303,10.444785268246497
10.56031076798563,10.443522113480993
9.440596998285818,9.388147670467221
10.00316417402926,10.074104440636898
9.030716883227432,8.967500965199921
10.116756253108706,10.197368068856653
